x	y	showSelected1	group
-0.157004289908208	0.00580284393415022	30	-1
-0.141303860917387	0.00464227514732018	30	-1
-3	3	31	-1
-2.7	2.4	31	-1
-2.43	1.92	31	-1
-2.187	1.536	31	-1
-1.9683	1.2288	31	-1
-1.77147	0.98304	31	-1
-1.594323	0.786432	31	-1
-1.4348907	0.6291456	31	-1
-1.29140163	0.50331648	31	-1
-1.162261467	0.402653184	31	-1
-1.0460353203	0.3221225472	31	-1
-0.94143178827	0.25769803776	31	-1
-0.847288609443	0.206158430208	31	-1
-0.7625597484987	0.1649267441664	31	-1
-0.68630377364883	0.13194139533312	31	-1
-0.617673396283947	0.105553116266496	31	-1
-0.555906056655552	0.0844424930131968	31	-1
-0.500315450989997	0.0675539944105575	31	-1
-0.450283905890997	0.054043195528446	31	-1
-0.405255515301898	0.0432345564227568	31	-1
-0.364729963771708	0.0345876451382054	31	-1
-0.328256967394537	0.0276701161105643	31	-1
-0.295431270655083	0.0221360928884515	31	-1
-0.265888143589575	0.0177088743107612	31	-1
-0.239299329230618	0.0141670994486089	31	-1
-0.215369396307556	0.0113336795588872	31	-1
-0.1938324566768	0.00906694364710972	31	-1
-0.17444921100912	0.00725355491768778	31	-1
-0.157004289908208	0.00580284393415022	31	-1
-0.141303860917387	0.00464227514732018	31	-1
-0.127173474825649	0.00371382011785614	31	-1
-3	3	32	-1
-2.7	2.4	32	-1
-2.43	1.92	32	-1
-2.187	1.536	32	-1
-1.9683	1.2288	32	-1
-1.77147	0.98304	32	-1
-1.594323	0.786432	32	-1
-1.4348907	0.6291456	32	-1
-1.29140163	0.50331648	32	-1
-1.162261467	0.402653184	32	-1
-1.0460353203	0.3221225472	32	-1
-0.94143178827	0.25769803776	32	-1
-0.847288609443	0.206158430208	32	-1
-0.7625597484987	0.1649267441664	32	-1
-0.68630377364883	0.13194139533312	32	-1
-0.617673396283947	0.105553116266496	32	-1
-0.555906056655552	0.0844424930131968	32	-1
-0.500315450989997	0.0675539944105575	32	-1
-0.450283905890997	0.054043195528446	32	-1
-0.405255515301898	0.0432345564227568	32	-1
-0.364729963771708	0.0345876451382054	32	-1
-0.328256967394537	0.0276701161105643	32	-1
-0.295431270655083	0.0221360928884515	32	-1
-0.265888143589575	0.0177088743107612	32	-1
-0.239299329230618	0.0141670994486089	32	-1
-0.215369396307556	0.0113336795588872	32	-1
-0.1938324566768	0.00906694364710972	32	-1
-0.17444921100912	0.00725355491768778	32	-1
-0.157004289908208	0.00580284393415022	32	-1
-0.141303860917387	0.00464227514732018	32	-1
-0.127173474825649	0.00371382011785614	32	-1
-0.114456127343084	0.00297105609428491	32	-1
-3	3	33	-1
-2.7	2.4	33	-1
-2.43	1.92	33	-1
-2.187	1.536	33	-1
