x	y	showSelected1
-0.555906056655552	0.0844424930131968	37
-0.500315450989997	0.0675539944105575	37
-0.450283905890997	0.054043195528446	37
-0.405255515301898	0.0432345564227568	37
-0.364729963771708	0.0345876451382054	37
-0.328256967394537	0.0276701161105643	37
-0.295431270655083	0.0221360928884515	37
-0.265888143589575	0.0177088743107612	37
-0.239299329230618	0.0141670994486089	37
-0.215369396307556	0.0113336795588872	37
-0.1938324566768	0.00906694364710972	37
-0.17444921100912	0.00725355491768778	37
-0.157004289908208	0.00580284393415022	37
-0.141303860917387	0.00464227514732018	37
-0.127173474825649	0.00371382011785614	37
-0.114456127343084	0.00297105609428491	37
-0.103010514608775	0.00237684487542793	37
-0.0927094631478979	0.00190147590034235	37
-0.0834385168331081	0.00152118072027388	37
-0.0750946651497973	0.0012169445762191	37
-0.0675851986348175	0.000973555660975281	37
